,name,links,type
22,Fermi Observations of High-Energy Gamma-Ray Emission from GRB 080916C,https://science.sciencemag.org/content/323/5922/1688,Research Article
23,Oxide Nanoelectronics on Demand,https://science.sciencemag.org/content/323/5917/1026,Research Article
24,Open Access and Global Participation in Science,https://science.sciencemag.org/content/323/5917/1025,Brevia
25,Predicting Elections: Child's Play!,https://science.sciencemag.org/content/323/5918/1183,Brevia
26,Exomic Sequencing Identifies PALB2 as a Pancreatic Cancer Susceptibility Gene,https://science.sciencemag.org/content/324/5924/217,Brevia
27,The Challenge of Finding a Cure for HIV Infection,https://science.sciencemag.org/content/323/5919/1304,Review
28,Extremely High Mutation Rate of a Hammerhead Viroid,https://science.sciencemag.org/content/323/5919/1308,Brevia
29,Functional Proteomics Identify Cornichon Proteins as Auxiliary Subunits of AMPA Receptors,https://science.sciencemag.org/content/323/5919/1313,Research Article
30,Time-Variable Deformation in the New Madrid Seismic Zone,https://science.sciencemag.org/content/323/5920/1442,Brevia
31,Wind-Driven Upwelling in the Southern Ocean and the Deglacial Rise in Atmospheric CO2 ,https://science.sciencemag.org/content/323/5920/1443,Research Article
32,Optical Deconstruction of Parkinsonian Neural Circuitry,https://science.sciencemag.org/content/324/5925/354,Research Article
33,Flagellum Mediates Symbiosis,https://science.sciencemag.org/content/323/5921/1574,Brevia
34,"Giant-Stroke, Superelastic Carbon Nanotube Aerogel Muscles",https://science.sciencemag.org/content/323/5921/1575,Research Article
35,Spinal Cord Stimulation Restores Locomotion in Animal Models of Parkinson's Disease,https://science.sciencemag.org/content/323/5921/1578,Research Article
36,Comprehensive Characterization of Genes Required for Protein Folding in the Endoplasmic Reticulum,https://science.sciencemag.org/content/323/5922/1693,Research Article
37,Queen Succession Through Asexual Reproduction in Termites,https://science.sciencemag.org/content/323/5922/1687,Brevia
38,Conditional Mutagenesis in Drosophila ,https://science.sciencemag.org/content/324/5923/54,Brevia
39,The Bent Hawaiian-Emperor Hotspot Track: Inheriting the Mantle Wind,https://science.sciencemag.org/content/324/5923/50,Review
40,Multiscale Modeling of Form and Function,https://science.sciencemag.org/content/324/5924/208,Special Reviews
41,Sending Signals Dynamically,https://science.sciencemag.org/content/324/5924/198,Special Reviews
42,Protein Dynamism and Evolvability,https://science.sciencemag.org/content/324/5924/203,Special Reviews
43,Strengthening Materials by Engineering Coherent Internal Boundaries at the Nanoscale,https://science.sciencemag.org/content/324/5925/349,Review
44,Origin and Radiation of the Earliest Vascular Land Plants,https://science.sciencemag.org/content/324/5925/353,Brevia
45,Entropic Evidence for Linguistic Structure in the Indus Script,https://science.sciencemag.org/content/324/5931/1165,Brevia
46,Coat Color Variation at the Beginning of Horse Domestication,https://science.sciencemag.org/content/324/5926/485,Brevia
47,Fire in the Earth System,https://science.sciencemag.org/content/324/5926/481,Review
48,The Genetic Structure and History of Africans and African Americans,https://science.sciencemag.org/content/324/5930/1035,Research Article
49,Neural Mechanisms of a Genome-Wide Supported Psychosis Variant,https://science.sciencemag.org/content/324/5927/605,Brevia
50,Elemental Composition of the Martian Crust,https://science.sciencemag.org/content/324/5928/736,Review
51,Representation of Confidence Associated with a Decision by Neurons in the Parietal Cortex,https://science.sciencemag.org/content/324/5928/759,Research Article
52,A Gene Necessary for Reproductive Suppression in Termites,https://science.sciencemag.org/content/324/5928/758,Brevia
53,Synapse- and Stimulus-Specific Local Translation During Long-Term Neuronal Plasticity,https://science.sciencemag.org/content/324/5934/1536,Research Article
54,A Key Role for Similarity in Vicarious Reward,https://science.sciencemag.org/content/324/5929/900,Brevia
55,Input-Specific Spine Entry of Soma-Derived Vesl-1S Protein Conforms to Synaptic Tagging,https://science.sciencemag.org/content/324/5929/904,Research Article
56,Reassessment of the Potential Sea-Level Rise from a Collapse of the West Antarctic Ice Sheet,https://science.sciencemag.org/content/324/5929/901,Research Article
57,"The Tail of Integrins, Talin, and Kindlins",https://science.sciencemag.org/content/324/5929/895,Review
58,The SOS Response Controls Integron Recombination,https://science.sciencemag.org/content/324/5930/1034,Brevia
59,Understanding the Warburg Effect: The Metabolic Requirements of Cell Proliferation,https://science.sciencemag.org/content/324/5930/1029,Review
60,The Computation of Social Behavior,https://science.sciencemag.org/content/324/5931/1160,Review
61,Auxin-Dependent Patterning and Gamete Specification in the Arabidopsis Female Gametophyte,https://science.sciencemag.org/content/324/5935/1684,Research Article
62,Did Warfare Among Ancestral Hunter-Gatherers Affect the Evolution of Human Social Behaviors?,https://science.sciencemag.org/content/324/5932/1293,Research Article
63,Regulation of Hypoxia-Inducible Factor 2α Signaling by the Stress-Responsive Deacetylase Sirtuin 1,https://science.sciencemag.org/content/324/5932/1289,Research Article
64,Disulfide Formation in the ER and Mitochondria: Two Solutions to a Common Process,https://science.sciencemag.org/content/324/5932/1284,Review
65,Anthropogenic Impacts on Nitrogen Isotopes of Ice-Core Nitrate,https://science.sciencemag.org/content/324/5932/1288,Brevia
66,Comprehensive Control of Atomic Motion,https://science.sciencemag.org/content/324/5933/1403,Review
67,Herapathite,https://science.sciencemag.org/content/324/5933/1407,Brevia
68,Sexual Intercourse Involving Giant Sperm in Cretaceous Ostracode,https://science.sciencemag.org/content/324/5934/1535,Brevia
69,Graphene: Status and Prospects,https://science.sciencemag.org/content/324/5934/1530,Review
70, DICER1 Mutations in Familial Pleuropulmonary Blastoma,https://science.sciencemag.org/content/325/5943/965,Brevia
71,"String Theory, Quantum Phase Transitions, and the Emergent Fermi Liquid",https://science.sciencemag.org/content/325/5939/439,Research Article
72,The Role of Stromal Stem Cells in Tissue Regeneration and Wound Repair,https://science.sciencemag.org/content/324/5935/1666,Review
73,"Growth Factors, Matrices, and Forces Combine and Control Stem Cells",https://science.sciencemag.org/content/324/5935/1673,Review
74,The Increasing Complexity of the Cancer Stem Cell Paradigm,https://science.sciencemag.org/content/324/5935/1670,Review
75,Elevated CO2 Enhances Otolith Growth in Young Fish,https://science.sciencemag.org/content/324/5935/1683,Brevia
76,"Competitive Interactions Between Cells: Death, Growth, and Geography",https://science.sciencemag.org/content/324/5935/1679,Review
77,Detection of 16 Gamma-Ray Pulsars Through Blind Frequency Searches Using the Fermi LAT,https://science.sciencemag.org/content/325/5942/840,Research Article
78,Serengeti Birds Maintain Forests by Inhibiting Seed Predators,https://science.sciencemag.org/content/325/5936/51,Brevia
79,"How to Think, Say, or Do Precisely the Worst Thing for Any Occasion",https://science.sciencemag.org/content/325/5936/48,Review
80,Dissociable Components of Rule-Guided Behavior Depend on Distinct Medial and Prefrontal Regions,https://science.sciencemag.org/content/325/5936/52,Research Article
81,Dependence of Mouse Embryonic Stem Cells on Threonine Catabolism,https://science.sciencemag.org/content/325/5939/435,Research Article
82,Pre-Target Axon Sorting Establishes the Neural Map Topography,https://science.sciencemag.org/content/325/5940/585,Research Article
83,Cell Growth and Size Homeostasis in Proliferating Animal Cells,https://science.sciencemag.org/content/325/5937/167,Research Article
84,Traction on Immobilized Netrin-1 Is Sufficient to Reorient Axons,https://science.sciencemag.org/content/325/5937/166,Brevia
85,Drug Discovery and Natural Products: End of an Era or an Endless Frontier?,https://science.sciencemag.org/content/325/5937/161,Review
86,Lysine Acetylation Targets Protein Complexes and Co-Regulates Major Cellular Functions,https://science.sciencemag.org/content/325/5942/834,Research Article
87,Nonlocal Transport in the Quantum Spin Hall State,https://science.sciencemag.org/content/325/5938/294,Research Article
88,Modern Riding Style Improves Horse Racing Times,https://science.sciencemag.org/content/325/5938/289,Brevia
89,Dyslexia: A New Synergy Between Education and Cognitive Neuroscience,https://science.sciencemag.org/content/325/5938/280,Review
90,"Demographic Variability, Vaccination, and the Spatiotemporal Dynamics of Rotavirus Epidemics",https://science.sciencemag.org/content/325/5938/290,Research Article
91,Foundations for a New Science of Learning,https://science.sciencemag.org/content/325/5938/284,Review
92,Knockout Rats via Embryo Microinjection of Zinc-Finger Nucleases,https://science.sciencemag.org/content/325/5939/433,BreviaGenetics
93,Transcriptional Regulatory Circuits: Predicting Numbers from Alphabets,https://science.sciencemag.org/content/325/5939/429,Review
94,"The Map of Altinum, Ancestor of Venice",https://science.sciencemag.org/content/325/5940/577,Brevia
95,Rebuilding Global Fisheries,https://science.sciencemag.org/content/325/5940/578,Research Article
96,Entropy Landscape of Phase Formation Associated with Quantum Criticality in Sr3Ru2O7 ,https://science.sciencemag.org/content/325/5946/1360,Research Article
97,The Genetic Architecture of Maize Flowering Time,https://science.sciencemag.org/content/325/5941/714,Research Article
98,Kepler’s Optical Phase Curve of the Exoplanet HAT-P-7b,https://science.sciencemag.org/content/325/5941/709,Brevia
99,The Last Glacial Maximum,https://science.sciencemag.org/content/325/5941/710,Research Article
100,Formation of ArF from LPdAr(F): Catalytic Conversion of Aryl Triflates to Aryl Fluorides,https://science.sciencemag.org/content/325/5948/1661,Research Article
101,"Strategic Reading, Ontologies, and the Future of Scientific Publishing",https://science.sciencemag.org/content/325/5942/828,Review
102,Local Adaptation of Bacteriophages to Their Bacterial Hosts in Soil,https://science.sciencemag.org/content/325/5942/833,Brevia
103,Formation of the First Peptide Bond: The Structure of EF-P Bound to the 70S Ribosome,https://science.sciencemag.org/content/325/5943/966,Research Article
104,"Deep-Sea, Swimming Worms with Luminescent “Bombs”",https://science.sciencemag.org/content/325/5943/964,Brevia
105,Structural Plasticity in Actin and Tubulin Polymer Dynamics,https://science.sciencemag.org/content/325/5943/960,Review
106,Starvation Protects Germline Stem Cells and Extends Reproductive Longevity in C. elegans ,https://science.sciencemag.org/content/326/5955/954,Research Article
107,Gene-for-Gene Resistance in Striga-Cowpea Associations,https://science.sciencemag.org/content/325/5944/1094,Brevia
108,On the Origin and Spread of an Adaptive Allele in Deer Mice,https://science.sciencemag.org/content/325/5944/1095,Research Article
109,Antibiotics for Emerging Pathogens,https://science.sciencemag.org/content/325/5944/1089,Review
110,Unbiased Reconstruction of a Mammalian Transcriptional Network Mediating Pathogen Responses,https://science.sciencemag.org/content/326/5950/257,Research Article
111,Conserved Functions of Membrane Active GTPases in Coated Vesicle Formation,https://science.sciencemag.org/content/325/5945/1217,Review
112,Shor’s Quantum Factoring Algorithm on a Photonic Chip,https://science.sciencemag.org/content/325/5945/1221,Brevia
113,RNAi in Budding Yeast,https://science.sciencemag.org/content/326/5952/544,Research Article
114,Ecological Dynamics Across the Arctic Associated with Recent Climate Change,https://science.sciencemag.org/content/325/5946/1355,Review
115,"30,000-Year-Old Wild Flax Fibers",https://science.sciencemag.org/content/325/5946/1359,Brevia
116,Macroevolution of Complex Retroviruses,https://science.sciencemag.org/content/325/5947/1512,Brevia
117,Oceanic Spawning Migration of the European Eel (Anguilla anguilla),https://science.sciencemag.org/content/325/5948/1660,Brevia
118,Carbon Capture and Storage: How Green Can Black Be?,https://science.sciencemag.org/content/325/5948/1647,Review
119, Ardipithecus ramidus and the Paleobiology of Early Hominids,https://science.sciencemag.org/content/326/5949/64,Research Article
120,"The Geological, Isotopic, Botanical, Invertebrate, and Lower Vertebrate Surroundings of Ardipithecus ramidus ",https://science.sciencemag.org/content/326/5949/65,Research Article
121,"Taphonomic, Avian, and Small-Vertebrate Indicators of Ardipithecus ramidus Habitat",https://science.sciencemag.org/content/326/5949/66,Research Article
122,Macrovertebrate Paleontology and the Pliocene Habitat of Ardipithecus ramidus ,https://science.sciencemag.org/content/326/5949/67,Research Article
123,The Ardipithecus ramidus Skull and Its Implications for Hominid Origins,https://science.sciencemag.org/content/326/5949/68,Research Article
124,Paleobiological Implications of the Ardipithecus ramidus Dentition,https://science.sciencemag.org/content/326/5949/69,Research Article
125,Careful Climbing in the Miocene: The Forelimbs of Ardipithecus ramidus and Humans Are Primitive,https://science.sciencemag.org/content/326/5949/70,Research Article
126,Global Surface Wave Tomography Using Seismic Hum,https://science.sciencemag.org/content/326/5949/112,Brevia
127,The Pelvis and Femur of Ardipithecus ramidus: The Emergence of Upright Walking,https://science.sciencemag.org/content/326/5949/71,Research Article
128,The Great Divides: Ardipithecus ramidus Reveals the Postcrania of Our Last Common Ancestors with African Apes,https://science.sciencemag.org/content/326/5949/73,Research Articles
129,Reexamining Human Origins in Light of Ardipithecus ramidus ,https://science.sciencemag.org/content/326/5949/74,Research Article
130,Combining Prehension and Propulsion: The Foot of Ardipithecus ramidus ,https://science.sciencemag.org/content/326/5949/72,Research Article
131,Quantum Simulators,https://science.sciencemag.org/content/326/5949/108,Review
132,Genotype Analysis Identifies the Cause of the “Royal Disease”,https://science.sciencemag.org/content/326/5954/817,Brevia
133,Reconstituting Bacterial RNA Repair and Modification in Vitro,https://science.sciencemag.org/content/326/5950/247,Brevia
134,Ice Age Terminations,https://science.sciencemag.org/content/326/5950/248,Research Article
135,Reactome Array: Forging a Link Between Metabolome and Genome,https://science.sciencemag.org/content/326/5950/252,Research Article
136,The Crystal Structure of the Ribosome Bound to EF-Tu and Aminoacyl-tRNA,https://science.sciencemag.org/content/326/5953/688,Research Article
137,The Structure of the Ribosome with Elongation Factor G Trapped in the Posttranslocational State,https://science.sciencemag.org/content/326/5953/694,Research Article
138,The Optogenetic Catechism,https://science.sciencemag.org/content/326/5951/395,Review
139,"Modalities, Modes, and Models in Functional Neuroimaging",https://science.sciencemag.org/content/326/5951/399,Review
140,Molecular and Cellular Approaches to Memory Allocation in Neural Circuits,https://science.sciencemag.org/content/326/5951/391,Review
141,Direct Evidence for Spinal Cord Involvement in Placebo Analgesia,https://science.sciencemag.org/content/326/5951/404,Brevia
142,Structural Mechanism of Abscisic Acid Binding and Signaling by Dimeric PYR1,https://science.sciencemag.org/content/326/5958/1373,Research Article
143,Lab Experiments Are a Major Source of Knowledge in the Social Sciences,https://science.sciencemag.org/content/326/5952/535,Review
144,Smallest Algae Thrive As the Arctic Ocean Freshens,https://science.sciencemag.org/content/326/5952/539,Brevia
145,Intraspecific Polymorphism to Interspecific Divergence: Genetics of Pigmentation in Drosophila ,https://science.sciencemag.org/content/326/5952/540,Research Article
146,Induced Chromosomal Proximity and Gene Fusions in Prostate Cancer,https://science.sciencemag.org/content/326/5957/1230,Brevia
147,Structure of Monomeric Yeast and Mammalian Sec61 Complexes Interacting with the Translating Ribosome,https://science.sciencemag.org/content/326/5958/1369,Research Article
148,Breaking the Code of DNA Binding Specificity of TAL-Type III Effectors,https://science.sciencemag.org/content/326/5959/1509,Research Article
149,A Simple Cipher Governs DNA Recognition by TAL Effectors,https://science.sciencemag.org/content/326/5959/1501,Brevia
150,10-GHz Self-Referenced Optical Frequency Comb,https://science.sciencemag.org/content/326/5953/681,Brevia
151,Intergenerational Wealth Transmission and the Dynamics of Inequality in Small-Scale Societies,https://science.sciencemag.org/content/326/5953/682,Research Article
152,Hematopoietic Stem Cell Gene Therapy with a Lentiviral Vector in X-Linked Adrenoleukodystrophy,https://science.sciencemag.org/content/326/5954/818,Research Article
153,Einstein’s Theory of Gravity and the Problem of Missing Mass,https://science.sciencemag.org/content/326/5954/812,Review
154,Population Structure Mediates Sexual Conflict in Water Striders,https://science.sciencemag.org/content/326/5954/816,Brevia
155,Widespread Occurrence of Self-Cleaving Ribozymes,https://science.sciencemag.org/content/326/5955/953,Brevia
156,Phosphorylation of H2A by Bub1 Prevents Chromosomal Instability Through Localizing Shugoshin,https://science.sciencemag.org/content/327/5962/172,Research Article
157,The Palomero Genome Suggests Metal Effects on Domestication,https://science.sciencemag.org/content/326/5956/1078,Brevia
158,Strengthening Individual Memories by Reactivating Them During Sleep,https://science.sciencemag.org/content/326/5956/1079,Brevia
159,Controlling the Velocity of Light Pulses,https://science.sciencemag.org/content/326/5956/1074,Review
160,Haploid Genetic Screens in Human Cells Identify Host Factors Used by Pathogens,https://science.sciencemag.org/content/326/5957/1231,Research Article
161,"Actin, a Central Player in Cell Shape and Movement",https://science.sciencemag.org/content/326/5957/1208,Review
162,Cell Signaling in Space and Time: Where Proteins Come Together and When They’re Apart,https://science.sciencemag.org/content/326/5957/1220,Review
163,The Extracellular Matrix: Not Just Pretty Fibrils,https://science.sciencemag.org/content/326/5957/1216,Review
164,Proteome Organization in a Genome-Reduced Bacterium,https://science.sciencemag.org/content/326/5957/1235,Research Article
165,Why and How Bacteria Localize Proteins,https://science.sciencemag.org/content/326/5957/1225,Review
166,Subcellular mRNA Localization in Animal Cells and Why It Matters,https://science.sciencemag.org/content/326/5957/1212,Review
167,Dendritic Mechanisms Underlying Rapid Synaptic Activation of Fast-Spiking Hippocampal Interneurons,https://science.sciencemag.org/content/327/5961/52,Research Article
168,Harnessing Carbon Payments to Protect Biodiversity,https://science.sciencemag.org/content/326/5958/1368,Brevia
169,Epidemic Dynamics at the Human-Animal Interface,https://science.sciencemag.org/content/326/5958/1362,Review
170,Adaptive Evolution of Pelvic Reduction in Sticklebacks by Recurrent Deletion of a Pitx1 Enhancer,https://science.sciencemag.org/content/327/5963/302,Research Article
171,"Lumpers and Splitters: Darwin, Hooker, and the Search for Order",https://science.sciencemag.org/content/326/5959/1496,Review
172,Cell-Specific Information Processing in Segregating Populations of Eph Receptor Ephrin–Expressing Cells,https://science.sciencemag.org/content/326/5959/1502,Research Article
173,Regiodivergent Ring Opening of Chiral Aziridines,https://science.sciencemag.org/content/326/5960/1662,Brevia
174,Crystal Structure of the Eukaryotic Strong Inward-Rectifier K+ Channel Kir2.2 at 3.1 Å Resolution,https://science.sciencemag.org/content/326/5960/1668,Research Article
175,Stepwise Modification of a Modular Enhancer Underlies Adaptation in a Drosophila Population,https://science.sciencemag.org/content/326/5960/1663,Research Article
176, Prdm9 Controls Activation of Mammalian Recombination Hotspots,https://science.sciencemag.org/content/327/5967/835,Brevia
177,PRDM9 Is a Major Determinant of Meiotic Recombination Hotspots in Humans and Mice,https://science.sciencemag.org/content/327/5967/836,Research Article
